,fitness,fitness,fitness,fitness,blocks_used,blocks_used,blocks_used,blocks_used
,min,max,mean,std,min,max,mean,std
generation_id,,,,,,,,
1,247,257,254.33333333333334,3.7237973450050528,14,18,16.0,1.2649110640673518
2,251,265,257.0,4.898979485566352,13,17,15.833333333333334,1.4719601443879746
3,257,267,264.0,3.521363372331804,16,17,16.833333333333332,0.40824829046386285
4,249,279,263.3333333333333,10.4626319187223,15,24,17.833333333333332,3.3115957885386114
5,263,281,276.6666666666667,6.742897497861484,17,18,17.166666666666668,0.40824829046386263
6,277,289,281.3333333333333,4.082482904638634,17,20,17.666666666666668,1.211060141638997
7,265,293,283.0,11.242775458044155,15,17,16.666666666666668,0.816496580927726
8,279,295,289.6666666666667,6.282250127674529,15,16,15.166666666666666,0.40824829046386313
9,288,296,293.3333333333333,3.141125063837272,16,16,16.0,0.0
10,291,297,295.1666666666667,2.136976056643276,18,18,18.0,0.0
11,287,305,296.0,5.899152481501046,15,19,18.0,1.6733200530681513
12,293,307,302.0,5.17687164221791,19,19,19.0,0.0
13,275,311,301.6666666666667,13.30663994653296,12,17,15.5,1.760681686165901
14,301,313,309.6666666666667,4.320493798938573,15,17,15.333333333333334,0.816496580927726
15,285,329,305.0,16.19876538505327,14,17,15.833333333333334,0.9831920802501752
16,325,331,328.6666666666667,1.9663841605003574,18,19,18.166666666666668,0.40824829046386263
17,313,335,324.0,9.444575162494072,19,21,19.333333333333332,0.816496580927726
18,305,337,330.3333333333333,12.436505404118426,19,19,19.0,0.0
19,321,343,334.6666666666667,7.420691791650323,15,15,15.0,0.0
20,341,345,343.0,1.264911064067354,15,18,15.5,1.2247448713915892
21,313,347,340.0,13.251415018781957,13,15,13.333333333333334,0.816496580927726
22,343,349,346.6666666666667,1.966384160500346,16,19,16.5,1.2247448713915887
23,297,350,328.1666666666667,23.016660632391197,18,21,19.666666666666668,1.0327955589886446
24,314,352,338.1666666666667,15.13164454600579,25,25,25.0,0.0
25,294,353,328.3333333333333,25.850854273440685,24,26,25.5,0.8366600265340758
26,303,354,342.8333333333333,19.924022351590214,24,26,25.0,0.6324555320336755
27,340,355,350.1666666666667,5.9469880331699585,23,26,24.166666666666668,0.9831920802501751
28,312,357,346.5,17.432727841620196,23,24,23.833333333333332,0.40824829046386263
29,314,358,343.5,15.94678651014053,26,28,27.166666666666668,0.7527726527090807
30,343,362,356.1666666666667,6.645800679125627,24,27,24.5,1.2247448713915892
31,330,364,353.1666666666667,13.15167923372018,26,26,26.0,0.0
32,353,366,361.0,5.513619500836092,25,28,25.5,1.2247448713915892
33,342,367,354.0,10.13903348450926,22,27,26.166666666666668,2.041241452319315
34,352,369,363.1666666666667,6.210206652492874,26,27,26.166666666666668,0.40824829046386263
35,352,370,364.1666666666667,7.985403350280235,28,28,28.0,0.0
36,352,371,363.0,8.049844718999239,29,31,30.0,0.6324555320336757
37,327,372,357.5,17.796066981218072,26,27,26.833333333333332,0.40824829046386263
38,304,373,347.5,29.797650914124084,22,29,26.666666666666668,2.503331114069145
39,352,374,367.0,9.818350166906859,29,31,30.666666666666668,0.8164965809277256
40,354,375,368.8333333333333,8.773064838850026,29,31,29.333333333333332,0.8164965809277264
41,354,376,367.5,9.181503144910424,29,30,29.833333333333332,0.40824829046386274
42,363,377,374.0,5.403702434442512,30,31,30.666666666666668,0.5163977794943221
43,358,378,371.5,9.005553841935544,32,32,32.0,0.0
44,335,379,360.1666666666667,20.331420675070063,34,37,36.5,1.2247448713915892
45,363,380,375.1666666666667,6.823977334858809,34,34,34.0,0.0
46,347,382,372.0,14.127986409959494,33,35,34.666666666666664,0.8164965809277253
47,365,383,376.6666666666667,8.664102184685193,34,34,34.0,0.0
48,229,237,230.33333333333334,3.265986323710904,17,22,17.833333333333332,2.0412414523193148
49,233,245,237.66666666666666,3.932768321000699,18,23,21.666666666666668,1.8618986725025255
50,243,247,245.0,1.2649110640673518,18,19,18.666666666666668,0.516397779494322
51,239,249,246.0,3.5213633723317987,22,24,23.0,0.6324555320336755
52,241,253,248.33333333333334,4.676180777800051,22,24,22.666666666666668,1.0327955589886446
53,231,255,249.66666666666666,9.1796877216312,21,21,21.0,0.0
